	unique_id	cof_paras
33	33	['These systems fall largely into two categories; those that focus on peer review judgments for evaluation and those that use a bibliometric approach.', 'At the other end of the scale, the distribution of funds based on the results of the Finnish PRFS is just 3% of the total research budget.', 'Furthermore, the PRFS in Norway and Australia are both used for research evaluation but are not used for funding distribution #AUTHOR_TAG.']
34	34	"['However, The Metric Tide study used different citation metrics and citation data sources from our approach.', 'It is at the institutional UoA level that our study reveals some of the strongest correlations, higher than previously shown.', 'In a related study, Mryglod et al.', '[5] used departmental h-index aggregation to predict REF rankings.', 'Their work was completed before December 2014 when the REF results were published and contained ranking predictions based on their model with some degree of success.', 'They also experimented by normalising the h-index for each year between 2008 and 2014 but surprisingly found little evidence that timescale played a part in the strength of the correlations they found.', ""An ad hoc study by Bishop [6] also found a moderate to strong correlation between departmental research funding based on the results of the UK's Research Assessment and Evaluation (RAE) exercise conducted in 2008, and departmental h-index."", 'Mingers #AUTHOR_TAG recently completed an investigation that collected total citation counts from Google Scholar (GS) for the top 50 academics 1 from each UK institute and he found strong correlations with overall REF rankings.', 'To our knowledge, ours is the first large-scale in-depth study that investigates the correlation between citation data and peer review rankings by discipline at the institutional level, taking into account all papers submitted to REF.']"
35	35	['There has long been wide ranging and often contentious discussion regarding the efficacy of both peer review and bibliometrics and whether one or other, or both should be used for Research Evaluation.', 'Anderson #AUTHOR_TAG finds only weak to moderate correlation with results from the New Zealand PRFS and a range of traditional journal rankings.', 'However Anderson states that this may be due to the much broader scope of research considered by PRFS processes and the additional quality-related information available to panels.', 'Contrary to Anderson, Smith [3] used citations from Google Scholar (GS) and correlated these against the results from the New Zealand PRFS in 2008.', 'He found strong correlation, r = 0.85 for overall PRFS results against Google Scholar citation count.']
36	36	"['There has long been wide ranging and often contentious discussion regarding the efficacy of both peer review and bibliometrics and whether one or other, or both should be used for Research Evaluation.', ""Several other studies have specifically investigated the correlation between the results of different nations' peer review focused Performance-based Research Funding Systems and bibliometric indicators."", 'Anderson [2] finds only weak to moderate correlation with results from the New Zealand PRFS and a range of traditional journal rankings.', 'The highest correlation is r = 0.48 with the Thomson Reuters Journal Citation Report.', 'However Anderson states that this may be due to the much broader scope of research considered by PRFS processes and the additional quality-related information available to panels.', 'Contrary to Anderson, Smith #AUTHOR_TAG used citations from Google Scholar (GS) and correlated these against the results from the New Zealand PRFS in 2008.', 'He found strong correlation, r = 0.85 for overall PRFS results against Google Scholar citation count.']"
37	37	['These experiments focus on the academic outputs (research papers) component of the REF, for which the metadata are available for download from the REF website.', 'The rankings are of critical importance to the institutes as approximately �1.6 billion in QR funding from central government is distributed annually entirely on the basis of the REF results #AUTHOR_TAG.']
38	38	"['Their work was completed before December 2014 when the REF results were published and contained ranking predictions based on their model with some degree of success.', 'They also experimented by normalising the h-index for each year between 2008 and 2014 but surprisingly found little evidence that timescale played a part in the strength of the correlations they found.', ""An ad hoc study by Bishop #AUTHOR_TAG also found a moderate to strong correlation between departmental research funding based on the results of the UK's Research Assessment and Evaluation (RAE) exercise conducted in 2008, and departmental h-index."", 'Mingers [7] recently completed an investigation that collected total citation counts from Google Scholar (GS) for the top 50 academics 1 from each UK institute and he found strong correlations with overall REF rankings.']"
39	39	"['At the time of the experiment MAG contained approximately 168m individual papers and 1.15 billion citation pairs.', 'It would have therefore taken almost two months to gather the required data which was not practical as this was more than 10 times slower than using MAG.', 'Additionally, studies by #AUTHOR_TAG and [12] have recently confirmed how comprehensive the MAG citation data are.', ""We could not utilise Google Scholar as it does not offer an API and prohibits 'scraping' of data.""]"
40	40	['It has been shown in [4], #AUTHOR_TAG and that many bibliometric indicators show little correlation with peer review judgments at the article level.', 'Our work has been conducted on a significantly larger dataset and our prediction accuracy is higher than shown in previous studies, despite deliberately using fairly simplistic indicators.']
41	41	"['Several studies including The Metric Tide [4], The Stern Report [14] and the HEFCE pilot study [15] all state that metrics should be used as an additional component in research evaluation, with peer review remaining as the central pillar.', 'This increases the overall total requirement to read 12,892 paper instances.', ""'It is blindingly obvious,' he concluded, 'that whatever the panels do will not be a thorough peer review of each paper, equivalent to refereeing it for publication in a journal'."", 'Sayer [21] is equally disparaging in regards to the volume of papers each reviewer was required to read and also expresses significant doubts about the level of expertise within the review panels themselves.']"
42	42	"['Yet, peer review has been shown by #AUTHOR_TAG, [17] and [18] amongst others to exhibit many forms of bias including institutional bias, gender / age related bias and bias against interdisciplinary research.', 'All of the above biases exist even when peer review is carried out to the highest international standards.', ""'It is blindingly obvious,' he concluded, 'that whatever the panels do will not be a thorough peer review of each paper, equivalent to refereeing it for publication in a journal'."", 'Sayer [21] is equally disparaging in regards to the volume of papers each reviewer was required to read and also expresses significant doubts about the level of expertise within the review panels themselves.']"
43	43	"['Yet, peer review has been shown by [16], #AUTHOR_TAG and [18] amongst others to exhibit many forms of bias including institutional bias, gender / age related bias and bias against interdisciplinary research.', 'All of the above biases exist even when peer review is carried out to the highest international standards.', ""'It is blindingly obvious,' he concluded, 'that whatever the panels do will not be a thorough peer review of each paper, equivalent to refereeing it for publication in a journal'."", 'Sayer [21] is equally disparaging in regards to the volume of papers each reviewer was required to read and also expresses significant doubts about the level of expertise within the review panels themselves.']"
44	44	"['Yet, peer review has been shown by [16], [17] and #AUTHOR_TAG amongst others to exhibit many forms of bias including institutional bias, gender / age related bias and bias against interdisciplinary research.', 'All of the above biases exist even when peer review is carried out to the highest international standards.', ""'It is blindingly obvious,' he concluded, 'that whatever the panels do will not be a thorough peer review of each paper, equivalent to refereeing it for publication in a journal'."", 'Sayer [21] is equally disparaging in regards to the volume of papers each reviewer was required to read and also expresses significant doubts about the level of expertise within the review panels themselves.']"
45	45	"['In an examination of one of the most critical forms of bias, that of publication bias, Emerson #AUTHOR_TAG noted that reviewers were much more likely to recommend papers demonstrating positive results over those that demonstrated null or negative results.', 'This increases the overall total requirement to read 12,892 paper instances.', ""'It is blindingly obvious,' he concluded, 'that whatever the panels do will not be a thorough peer review of each paper, equivalent to refereeing it for publication in a journal'."", 'Sayer [21] is equally disparaging in regards to the volume of papers each reviewer was required to read and also expresses significant doubts about the level of expertise within the review panels themselves.']"
46	46	"['This increases the overall total requirement to read 12,892 paper instances.', 'Coles #AUTHOR_TAG calculated a very similar figure of 2 papers per day, based on an estimate before the data we now have was available.', ""'It is blindingly obvious,' he concluded, 'that whatever the panels do will not be a thorough peer review of each paper, equivalent to refereeing it for publication in a journal'."", 'Sayer [21] is equally disparaging in regards to the volume of papers each reviewer was required to read and also expresses significant doubts about the level of expertise within the review panels themselves.']"
47	47	"['Several studies including The Metric Tide [4], The Stern Report [14] and the HEFCE pilot study [15] all state that metrics should be used as an additional component in research evaluation, with peer review remaining as the central pillar.', 'Yet, peer review has been shown by [16], [17] and [18] amongst others to exhibit many forms of bias including institutional bias, gender / age related bias and bias against interdisciplinary research.', 'In an examination of one of the most critical forms of bias, that of publication bias, Emerson [19] noted that reviewers were much more likely to recommend papers demonstrating positive results over those that demonstrated null or negative results.', 'All of the above biases exist even when peer review is carried out to the highest international standards.', 'There were close to 1,000 peer review experts recruited by the REF, however the sheer volume of outputs requiring review calls into question the exactitude of the whole process.', 'As an example the REF panel for UoA 9, Physics, consisted of 20 members.', 'The total number of outputs submitted for this UoA was 6,446.', 'Each paper is required to be read by two referees.', 'This increases the overall total requirement to read 12,892 paper instances.', 'Therefore each panel member was required to review, to international standards, an average of 644 papers in a little over ten months.', 'If every panel member, worked every day for ten months, each member would need to read and review 2.14 papers per day to complete the work on time.', ""This is, of course, in addition to the panelist's usual full-time work load."", 'Moreover, Physics is not an unusual example and many other UoAs tell a similar story in terms of the average number of papers each panel member was expected to review; Business and Management Studies (1,017 papers), General Engineering (868 papers), Clinical Medicine (765 papers).', 'The burden placed on the expert reviewers during the REF process was onerous in the extreme.', 'Coles [20] calculated a very similar figure of 2 papers per day, based on an estimate before the data we now have was available.', ""'It is blindingly obvious,' he concluded, 'that whatever the panels do will not be a thorough peer review of each paper, equivalent to refereeing it for publication in a journal'."", 'Sayer #AUTHOR_TAG is equally disparaging in regards to the volume of papers each reviewer was required to read and also expresses significant doubts about the level of expertise within the review panels themselves.']"
48	48	"['At the time of the experiment MAG contained approximately 168m individual papers and 1.15 billion citation pairs.', 'It would have therefore taken almost two months to gather the required data which was not practical as this was more than 10 times slower than using MAG.', 'Additionally, studies by [11] and #AUTHOR_TAG have recently confirmed how comprehensive the MAG citation data are.', ""We could not utilise Google Scholar as it does not offer an API and prohibits 'scraping' of data.""]"
49	49	"[""The NACP was formally recognized by the United States in 2002 under the mantle of the nation's overall climate change management strategy (#AUTHOR_TAG, 2002)."", 'The first implementation plan for the NACP put forward a research agenda that was centered on quantifying and understanding carbon sinks and sources in North America and surrounding oceans, and the integration of such information into socially, economically, and politically relevant decision-support systems (Sarmiento and Wofsy, 1999;Wofsy and Harriss, 2002).', 'The State of the Carbon Cycle Report established that North America is a net source of CO2 to the atmosphere, due to fossil-fuel emissions and that there are globally important carbon sinks whose future are highly uncertain (King et al., 2007).', 'Understanding how humans both experience and influence the carbon cycle and climate change is critical to the interests of decision makers (Bernabo, 1995;Feldman and Ingram, 2009), such as those who confer support upon the member agencies of the NACP through funding and other resources.']"
50	50	"[""The NACP was formally recognized by the United States in 2002 under the mantle of the nation's overall climate change management strategy (Wofsy and Harriss, 2002)."", 'The first implementation plan for the NACP put forward a research agenda that was centered on quantifying and understanding carbon sinks and sources in North America and surrounding oceans, and the integration of such information into socially, economically, and politically relevant decision-support systems (Sarmiento and Wofsy, 1999;Wofsy and Harriss, 2002).', 'The State of the Carbon Cycle Report established that North America is a net source of CO2 to the atmosphere, due to fossil-fuel emissions and that there are globally important carbon sinks whose future are highly uncertain (#AUTHOR_TAG et al., 2007).']"
51	51	"[""The NACP was formally recognized by the United States in 2002 under the mantle of the nation's overall climate change management strategy (Wofsy and Harriss, 2002)."", 'The first implementation plan for the NACP put forward a research agenda that was centered on quantifying and understanding carbon sinks and sources in North America and surrounding oceans, and the integration of such information into socially, economically, and politically relevant decision-support systems (Sarmiento and Wofsy, 1999;Wofsy and Harriss, 2002).', 'Understanding how humans both experience and influence the carbon cycle and climate change is critical to the interests of decision makers (Bernabo, 1995;#AUTHOR_TAG and Ingram, 2009), such as those who confer support upon the member agencies of the NACP through funding and other resources.']"
52	52	['Many studies have used the relationships between authors of a document to study broad domains such as physics (#AUTHOR_TAG, 2001a) and mathematics (Barab��si et al., 2002).', 'People are generally expected to communicate and interact with one another in order to publish a document or conduct a project together (Newman, 2001a).']
53	53	['The average clustering coefficient is a measure of how connected a neighborhood of nodes are.', 'For a particular node (scientist), a neighborhood is all nodes connected to this particular node.', 'If all the nodes in the neighborhood of a scientist-node are connected to other scientist-nodes of that neighborhood, then the clustering coefficient of that neighborhood will be 1; if none of the other nodes in the neighborhood are connected to each other then the clustering coefficient will be zero (#AUTHOR_TAG et al., 2008).', 'In other words, the clustering coefficient of a node that has at least one other node connected to it, is the probability that any two randomly chosen neighbors are connected.', 'This probability is calculated by dividing the number of triangles containing our particular scientist by the number of possible connections between his neighbors (31).', 'The average clustering coefficient is the average of these scores over all the neighborhoods.']
54	54	['We tended to evaluate our graphs for information about average behavior of nodes as a whole, or at the network level of analysis.', 'For example, modularity is the fraction of the connections within given groups minus the expected such fraction if connections were distributed at random (#AUTHOR_TAG, 2006).', 'The modularity score given to the networks can be interpreted as describing how well a network, in our case the NACP, can be seen as a collection of sub-networks, or is a score of how well organized the network is.', 'Since the modularity score measures the quality of the partitioning of the graph into smaller communities, the fact that the networks have close to similar scores means that they share a similar internal community structure.']
55	55	['More recently, studies have also employed narrower sampling approaches, such as only including data from a specific journal (Martin et al., 2013) or based on attendance records of participation for the active members of a community of business (#AUTHOR_TAG et al., 2008).']
56	56	['But given enough connections, isolated groups may converge into a single mass, which encompasses the majority of nodes, and in which everyone is potentially connected to everyone else by some path (#AUTHOR_TAG, 2001b).']
57	57	['We have noted that the knowledge domain of the NACP is codified within the U.S. Carbon Cycle Science Plan (Michalak et al., 2011), the Science Implementation Strategy for the North American Carbon Program of 2005 (Denning, 2005), and similar supporting documents.', 'Although scientific research does not have a simple cause-andeffect relationship with improved societal outcomes, some research has led to reduced exposure to extreme events, improved forest management, and effective policies to ensure agricultural sustainability (#AUTHOR_TAG et al., 2014).']
58	58	"['It is not clear from our analysis that such work is being done yet in the NACP (Dilling and Lemos, 2011;#AUTHOR_TAG et al., 2002).', 'Previous research has shown that just because research is policy relevant, does not mean that policy makers will use it (Cash et al., 2006).', 'Science has to be done in a way that directly engages stakeholders and involves them in setting the research agenda, working with them iteratively over long periods of time to ensure that the research can be more usable in the end.', ""The NACP abstract database doesn't really provide evidence one way or another that that is happening.""]"
59	59	['Understanding how climate change may evolve over the coming decades requires significant investment in research about carbon and how it cycles, through both living and nonliving states, (Smil, 1996).', 'These investigations may also include the specific role humans play in the carbon cycle, such as the impact of human-generated emissions or the consequences of climate change to agriculture and food systems (Berthelot et al., 2002;Bradbear and Friel, 2013;Dempewolf et al., 2014;#AUTHOR_TAG et al., 2012).', 'Carbon cycle science is relevant to a great many aspects of life as we know it: the condition of our environment, the quality of air we breathe, water resources, the food that we eat, and the energy we consume.']
60	60	['Climate change has emerged as a significant scientific, social and economic challenge to society (IPCC, 2014).', 'Understanding how climate change may evolve over the coming decades requires significant investment in research about carbon and how it cycles, through both living and nonliving states, (#AUTHOR_TAG, 1996).', 'Scientists frequently study these biogeochemical cycles in the context of subsystems such as the terrestrial biosphere (land-based living systems), oceanic systems (both organic and inorganic forms of carbon), and the atmosphere (Falkowski et al., 2000).', 'These investigations may also include the specific role humans play in the carbon cycle, such as the impact of human-generated emissions or the consequences of climate change to agriculture and food systems (Berthelot et al., 2002;Bradbear and Friel, 2013;Dempewolf et al., 2014;Shindell et al., 2012).', 'Carbon cycle science is relevant to a great many aspects of life as we know it: the condition of our environment, the quality of air we breathe, water resources, the food that we eat, and the energy we consume.']
61	61	['Our research has similar findings to other studies that investigate how to cultivate collaboration in a community of scientists.', 'For example, one study explored the introduction of scientists who were previously unacquainted and from different research backgrounds using brief meetings during a conference (#AUTHOR_TAG et al., 2014).', 'According to the study, many scientist reported positive experiences and potential new collaborations as a result of participation.', 'The social network perspective also enables the community to further stabilize and expands its connections, by encouraging collaborations that would connect isolated fragments of researcher groups to the overall network.']
62	62	"['We conducted a network analysis on both the NACP database and the bibliographic data, and present network graphs resulting from the analysis.', 'Network analysis is a research approach that prioritizes relationships between social units as opposed to focusing on attributes of the individual units themselves (#AUTHOR_TAG and Faust, 1994).', 'Here we report on co-authorship networks that describe relationships between people rather than ideas.', 'A document ""is co-authored if it has more than one author. It is institutionally co-authored if it has more than one author address, suggesting that the authors come from various institutions, departments, or other kinds of units"" (Melin and Persson, 1996).']"
63	63	"['We conducted a network analysis on both the NACP database and the bibliographic data, and present network graphs resulting from the analysis.', 'Network analysis is a research approach that prioritizes relationships between social units as opposed to focusing on attributes of the individual units themselves (Wasserman and Faust, 1994).', 'Here we report on co-authorship networks that describe relationships between people rather than ideas.', 'A document ""is co-authored if it has more than one author. It is institutionally co-authored if it has more than one author address, suggesting that the authors come from various institutions, departments, or other kinds of units"" (#AUTHOR_TAG and Persson, 1996).']"
64	64	['For example, previous studies have found that cross-institutional collaboration supports the diffusion of innovations and new ideas within a field (#AUTHOR_TAG and Darby, 1996).']
65	65	['Understanding how climate change may evolve over the coming decades requires significant investment in research about carbon and how it cycles, through both living and nonliving states, (Smil, 1996).', 'These investigations may also include the specific role humans play in the carbon cycle, such as the impact of human-generated emissions or the consequences of climate change to agriculture and food systems (Berthelot et al., 2002;Bradbear and Friel, 2013;#AUTHOR_TAG et al., 2014;Shindell et al., 2012).', 'Carbon cycle science is relevant to a great many aspects of life as we know it: the condition of our environment, the quality of air we breathe, water resources, the food that we eat, and the energy we consume.']
